Asunto;Radicado;Serie Documental;Sub-Serie documental;
COMUNICACI&OacuteN AUTO 1439 DEL 19/04/2023- A PETICION CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
 NOTIFICA FALLO DE PRIMERA INSTANCIA DE ACCI&OacuteN DE TUTELA RAD. 2023-00056 ACCIONANTE: JOS&Eacute LIBARDO BOCANEGRA DUQUE CONTRA COOPERATIVA MULTIACTIVA UNIDA DE COLOMBIA ? COOPUNI&OacuteN ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ACTAS Y EVOLUCIONES PCTE NOEL RODRIGUEZ BARRETO CC: 1106483996-A PETICION HOSPITAL FEDERICO LLERAS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PLATAFORMA HUMANO EN L&IacuteNEA PARA CESANT&IacuteAS DEFINITIVAS SOLICITADOS DESDE EL 14 DE MARZO DE 2023.-A PETICION YASMINE SALINAS GARCIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
DERECHO DE PETICI&OacuteN: SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PLATAFORMA HUMANO EN L&IacuteNEA PARA CESANT&IacuteAS DEFINITIVAS SOLICITADOS DESDE EL 14 DE MARZO DE 2023. APETICION DE LA SRA. LUZ AMPARO GUERRERO GUARNIZO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
DERECHO DE PETICI&OacuteN - VULNERACION DERECHO FUNDAMENTAL- A PETICION DE MUSME AVILA ARIAS ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITUD Y SEGUIMIENTO  A LA ENTIDAD ENCARGADA DE TERAPIAS INCONFORMIDAD DE HIDROTERAPIAS-RAFAEL EDUARDO BORRERO BLANCO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6333 A PETICION CORTOLIMA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
PROCURADUR&IacuteA GENERAL DE LA NACI&OacuteN: RADICADO DE SALIDA S-2023-034510- ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TUTELA 2023-0097 NOTIFICACION AUTO AVOCA CONOCIMIENTO- A PETICION JUZGADO 12 PENAL MUNICIPAL FUNCIONES CONOCIMIENTO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DESCARGOS  EXPEDIENTE 412-VIF- A PETICION VICTOR EDUARDO GOMEZ ARISTIZABAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICION-NAYIVE MARITZA OSPINA TRIANA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
 RECURSO DE REPOSICI&OacuteN EN SUBSIDIO DE APELACI&OacuteN - RAD 412 -21 CONTRA AUTO DE FECHA 31 DE MARZO DE 2023-ERICK MONROY GARAY ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA DILIGENCIA N 2023-10-622 SOLICITUD INTERVENCION REALIZADA POR LA SE&NtildeORA ADA CAMILA JARAJAS CHARRY MEDIANTE DERECHO DE  PETICION INFIBAGUE  ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
SOLICITUD DE INTERVENCION ANTE CELSIA POR COBRO DE INTERNET - A PETICION DE AMPARO MAYORGA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE  INTERVENCION AL SISBEN PARA CENSO- A PETICION DE CRISTIAN CAMILO CASTE&NtildeANOS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
REQUERIMIENTO DEL USO SUELOS PARA COLOCAR UN COMERCIO VENTA MATERIALES DE FERRETER&IacuteA Y CONSTRUCCI&OacuteN ACTIVIDADES CIIU 47521 Y 47522 SEGUN DERECHO PETICION NO HAN ENVIADO FRESPUESTA HASTA LA FECHA HOY 25 ABRIL DEL A&NtildeO 2023-MARIA TERESA  ZAMBRANO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITUD DE SEGUIMIENTO A NIVEL DE RIESGO DE LOS INMUEBLES CATASTRALES - A PETICION DE MARI ALEXANDRA GOMEZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITA SEGUIMIENTO A LA ENTIDAD CELSIA POR COBRO DE RECIBO DE LUZ A PETICION DE LA SE&NtildeORA EDNA ROCIO OLIVEROS RAMIREZ  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INCONFORMIDAD DE FAMISANAR EPS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SE SOLICITA INTERVENCION DE SERVICIO DEL ASEO EN EL BARRIO SAN ISIDRO A PETICION ALEXANDRA GOMEZ  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD ANTE AL SISBEN PARA ASCENSO A PETICION DE ARLIN DUMAR ACOSTA SUAREZ  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD CENSO DEL SISBEN A PETICION DEL SENOR JESUS ANTONIO RAMIREZ  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
CONVOCATORIA A MESA DE TRABAJO DEL BARRIO CIUDADELA SIMO9N BOLIVAR 1 ETAPA EL DIA 3 DE MAYO DEL 2023 A LAS 2:00PM MANZANA 25 CASA 15 FRENTE A LA CANCHA DE FUTBOL A PETICION DE ALEXANDER AGUDELO VICEPRESIDENTE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DEFENSORIA DEL PUEBLO : REMISION DE COMUNICACION NUMERO 20230060321447671 -REMITIDA  472 ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
RESPUESTA A OFICIO SOLICITUD DE INFORMACI&OacuteN SOBRE CONTESTACI&OacuteN A OFICIO DEDILIGENCIA NO. 2023-10-0207(0032) DE 25/01/2023 SOLICITUD DE INTERVENCI&OacuteN YMANTENIMIENTO DE LA ESTRUCTURA DEL PUENTE CALLE 76 CARRERA LA PUENTE QUE COMUNICACIUDAD LUZ VILLA YULY Y ALFONSO URIBE BADILLO ? LAS CAMELIAS.- ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
 RESPUESTA A RADICADO 2023-003415 DEL 19/01/2023 - REQUERIMIENTOS ENTES DE CONTROL - SOLICITUD INFORMACI&OacuteN DE ALTERNATIVAS YIO ACCIONES EN GARANT&IacuteA DE LA MOVILIDAD-ROTONDA MIROLINDO. ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
SOLICITUD Y INTERVENCION CON MIGRACION PARA VENEZOLANA INDOCUMENTADA- A PETICION DE  SCARLY BRISE&NtildeO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SECRETARIA DE SALUD-ELECTRONICOS 022121 ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN RESPUESTA A COMUNICACI&OacuteN POR CORREO ELECTR&OacuteNICO. OTROSI - AJUSTE DEL PRECIO DE VENTA � FIRMA DE OTROS&Iacute PROYECTO: VENTURA � CLUB HOUSE Y SOLICITUD DE  ACLARACI&OacuteN- DANE ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SECRETARIA DE DESARROLLO SOCIALCOMUNITARIO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO TECNICO EN LA PREVENCION Y ATENCION DE DESASATRES BARRIO VARSOVIA ETAPA 1 Y BOSQUES DE VARSOVIA MANZANA E CASA 1 HASTA LA 34 IBAGUE- ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
QUEJA DISIPLINARIA CONSECUENCIA DE LA PROBLEM&AacuteTICA POR LA MALAATENCION Y ENVIO DE DOCUMENTOS A LOS RESPECTIVOS FUNCIONARIOS QUE LLEVANATENCION AL CASO DEL JUZGADO QUINTO DE FAMILIA PIDO AMABLEMENTE QUE MEAGILICEN EL CASO-SANDRA MILENA MARROQUIN VARGAS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
URGENTE� NOTIFICACI&OacuteN AUTO VINCULA PERSONERIA ACCI&OacuteN DE TUTELA 2023 - 167 -JUZGADO 21 LABORAL ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
DERECHO DE PETICION. ARTICULO 23 DE LA CONSTITUCION POLITICA Y LEY 1755 DE 2015- CARLOS JOSE PINILLOS RUIZ -ANDRES ARES ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
PROCURADUR&iacuteA GENERAL DE LA NACI&OacuteN-REMISION POR COMPETENCIA E-2023-007647 ;;;;
DERECHO DE PETICI&OacuteN SOLICITO EL MANTENIMIENTO DE ALUMBRADO P&UacuteBLICO REPARACI&OacuteN DE AQUELLAS LUMINARIAS QUE SE ENCUENTREN APAGADAS-ANDR&EacuteS NAVEROS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCI&OacuteN ELEVADA POR PARTE DE LA SE&NtildeORA MAGALY BOCANEGRA BARRETO-JOSE IVAN BARRETO SE ENCUENTRA RECLUIDO EN EL CENTRO PENITENCIARIO DE COIBA PICALE&NtildeA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ASUNTO REITERA SOLICITUD DE INFORMACI&OacuteN EXPEDIDA POR &OacuteRDEN JUDICIAL.- A PETICION DE ABOGADO DIEGO FERNANDO POSADA GRAJALES;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA A RADICADOS:02EE202341060000009029 � 02EE202341060000000032 � 02EE2023410600000009035 � 02EE202341060000009036 � 02EE202341060000000042.  -MINISTERIO DE TRABAJO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITA DE MANERA URGENTE LA RESPUESTA SOBRE LA SOLICITUD DE VALORACI&OacuteN Y ESTUDIO SOCIOFAMILIAR-COMISARIA DE FAMILIA QUINCE ANTONIO NARI&NtildeO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD TERMINACION DE CONTRATO ANTICIPADA CONTRATO PMI-CD-009-2023 ;;;;
SOLICITUD DE INFORMACION RELACIONADA CON LA VULNERACION DE DERECHOS DE POBLAION INDIGENA DEL MUNICIPIO DE IBAGUE- SECRETARIA DE GOBIERNO DESPACHO;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD E INTERVENCION COMISARIA DE FAMILIA Y BIENESAR FAMILIAR PARA SEAN VULNERABLES LOS DERECHOS DE UNA MENOR- A PETICION DEL SE&NtildeOR JUAN FELIPE BERMEO GUZMAN  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITO MUY GENTILMENTE Y HUMILDEMENTE EL BENEFICIO DE LIBERTAD CONDICIONAL ART&IacuteCULOS - 63 - 64 - 483 CPP CCA CP ACCIONANTE : JOS&Eacute FERLEY CORTES BANGUEROCC # 1117522166TD # 0409NUI # 194600 PABELLON # 31 DEL EPC DE COIBA PICALE&NtildeA ESTRUCTURA # 3 ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACI&OacuteN FALLO TUTELA RAD. 2023-00094 JUZGADO 11 PENAL MUNICIPAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
MESA DE TRABAJO PROGRAMACION ELECCIONES 2023- DIA DE 27 DE ABRIL DEL 2023 HORA 6:00PM  LUGAR: DESPACHO SECRETARIA DE GOBIERNO- A PETICION DE SECRETARIA DE GOBIERNO  ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
OFICIO 22297- CONVOCATORIA A REUNION REFERENTE A TEMAS RELACIONADOS CON EL PROCESO DE ELECCION DE REPRESENTANTES DE LAS PERSONAS EN SITUACION DE DISCAPACIDAD DENTRO DEL COMITE TECNICO DE DISCAPACIDAD - DIA 4 DE MAYO DEL 2023-HORA9:00AM LUGAR CENTRO DE GESTION CATASTRAL MULTIPROPOSITO DIRECCION CRA 4 N 6-75;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SE SOLICITA INTERVENCION A ESPACIO PUBLICO Y POLICIA NACIONAL INSPECCION DE POLICIA COMUNA 8 POR INVACION DE ESPACIO PUBLICO: CAMBUCHES BASURAS-A PETICION DE EL SR. SERGIO FELIPE VI&NtildeA JUNTA DE ACCION COMUNAL DEL BARRIO VASCONIA RESERVADO ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
  RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6476- CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
DE OFICIO ;EXPEDIENTE DISCIPLINARIO 1858-2023;PROCESOS;PROCESO DISCIPLINARIO;
TRALASDO DEL SE&NtildeOR NOE BARRETO ADULTO MAYOR  HABITANTE DE CALLE DEL HOSPITAL FEDERICO LLERAS SEDE FRANCIA AL ANCIANATO DEL JARDIN DE LOS ABUELOS DEL BARRIO EL SALADO. 2 ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD- REITERACION DERECHO DE PETICI&OacuteN MANTENIMIENTO DE ALUMBRADO P&UacuteBLICO-UBICADAS SOBRE LA CARRERA CUARTA # 17-85 NUMERO DE POSTE 70886839. SEGUNDA LUMINARIA CARRERA CUARTA CON 18 ESQUINA N&UacuteMERO DE POSTE 65000644.    REPARACI&OacuteN DE ILUMINARIAS DESDE LA CALLE 10 HASTA LA CALLE 20 CON CARRERA QUINTA EN TOTAL 15 ILUMINARIAS DA&NtildeADAS- A PETICION DE ANDRES NAVEROS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
PETICION ARTICULO 23 CONSTITUCION NACIONAL - CARACTER URGENTE - A PETICION DE JUAN SEBASTIAN CASTRO DIAZ  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
PARA CORREO OFICIAL- CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
NOTIFICACI&OacuteN FALLO TUTELA 2023-00069 JUAN JOS&Eacute OSPINA MAR&IacuteN VS SECRETAR&IacuteA DE HACIENDA Y OTROS- A PETICION JUZGADO 13 PENAL MUNICIPAL CONOCIMIENTO  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
INCIDENTE DE DESACATO DE TUTELA VIOLENTANDO EL DERECHO FUNDAMENTAL ALA SALUD EN CONEXIDAD CON LA VIDA E INTEGRIDAD PERSONAL LA DIGNIDAD LA VIDA - ACCIONANTE : CARLOS ALBERTO RIVERA LOPEZCC # 79 721 125 TD # 9722 NUI # 231349 PEBELLON # 31 DEL EPC COIBA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
APOYO ASISTENCIA JORNADA DE CARACTERIZACIO TOM DE DECLARACION Y ACREDITACION DE MILITARES VICTIMAS DEL CONFLICTO ARMADO-MINISTERIO DE DEFENSA NACIONAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SEGUNDA CONVOCATORIA MESA SISTEMA DE INFORMACI&OacuteN Y GESTI&OacuteN DEL CONOCIMIENTO SNCRPA-SECRETARIA DE GOBIERNO DIRECCION DE JUSTICIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
CONFIRMACI&OacuteN DE LUGAR: AUDIENCIA SOBRE LICENCIAMIENTO Y SERVICIOS P&UacuteBLICOS-LUGAR ALFONSO LOPEZ PUMAREJO  GOBERNACION DEL TOLIMA ( PRIMER PISO ) IBAGUE. HORA: 8:00AM.12:00PM  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
NOTIFICACION AUTO AVOCA TUTELA RAD. 2023-000104-JUZGADO ONCE PENAL MUNICIPAL CON FUNCIONES DE CONOCIMIENTO DEIBAGU&Eacute ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SU SOLICITUD DE ANTECEDENTES DISCIPLINARIOS Y/O PROFESIONALES DE INSCRITOS COMO JUECES DE PAZ RECONSIDERACION-CONSEJO SECCIONAL JUDICATURA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
URGENTE NOTIFICA FALLO SEGUNDA INSTANCIA  ISAAC DAVID CASTILLA SALAS  FAMISANAR  RAD 2023-31-JUZGADO SEGUNDO PENAL  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
CONVOCATORIA MESA DE COORDINACION DECRETO 003 DE 2021-FECHA: 27 DE ABRIL 2023 HORA:17:30PM  LUGAR SECRETARIA DE GOBIERNO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TUTELA 2023-00100 NOTIFICACION AUTO AVOCA CONOCIMIENTOI-JUZDADO 12 PENAL MUNICIPAL  FUNCIONES ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACI&OacuteN DECISI&OacuteN HABEAS CORPUS 2023-00002 KAREN ANDREA PALMITO BARRERO-JUZGADO TRECE PENAL MUNICIPAL  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
   INVITACI&OacuteN REUNI&OacuteN COMERCIANTES COELLO COCORA BOQUERON-VIERNES 28 DE ABRIL 2023 A&NtildeO 1:00PM EN LAS INSTALACIONES DEL COLEGIO ANTONIO NARI&NtildeO QUE SE ENCUENTRA UBICADO EN EL CORREGIMIENTO DE COELLO COCORA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACION AUTO AVOCA - CONCEDE MEDIDA PROVISIONAL - TUTELA RAD. 2023-00107-JUZGADO 11 PENAL MUNICIPAL  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6540 ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6521- CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
 RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6520- CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6551 -CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
DERECHO DE PETICI&OacuteN INFORME INCLUSI&OacuteN EDUCATIVA Y INTERVENCION CON LA SECRETARIA DE EDUCACION-A PETICION  ANDRES LOPERA GRUPO CONSULTIVO DE DISCAPACIDAD DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RADICADO DE SALIDA ELECTR&OacuteNICO  N? 6557-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
radicado de Salida electr&oacutenico  N? 6558- CORTLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
Realizar el seguimiento y verificaci&oacuten al cumplimiento del programa del plan de acci&oacuten de la personera  delegada ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITA REVICION EXPEDIENTE NUMERO 596-12( ARTICULO 23 CPC- A PETICION DE EL SE&NtildeOR MANUEL ALGEL PITA BERNAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA AL OFICIO DE RADICADO NUMERO 2023-10 - COMISARIA PERMANENTE DE FAMILIA TURNO 2 ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ADULTO MAYOR JOS&Eacute LINARCO PARRA CC 2.228.300 POR ABONDONO FAMILIAR Y SOCIAL.-AUDANTI S.A.S ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME AVANCE DEL PLAN DE ACCION DEL PRIMER TRIMESTRE (ENERO FEBRERO Y MARZO DE 2023). ;;INFORMES;INFORME DE SEGUIMIENTO DEL PROGRAMA;
SOLICITUD DE INTERVENCION ADULTO MAYOR LUZ STELLA ARCE CC 38.219.302 POR ABONDONO FAMILIAR-AVIDANTE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
